Kod/zad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22.1,22.2,22.3,22.4,22.5,22.6,Płeć,Dysleksja,Lokalizacja,
B4,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,M,N,w,17
B5,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,M,N,m,12
B6,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,M,N,w,13
B7,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,K,N,m,17
B8,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,2,1,1,1,0,1,0,K,N,m,23
B9,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,M,N,m,7
B10,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,2,0,0,0,0,0,M,N,m,14
B11,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,K,N,m,14
B12,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,2,1,1,0,1,0,M,N,m,17
B13,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,2,1,1,K,N,m,23
B14,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,M,N,m,26
B15,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,K,N,w,13
B16,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,K,N,m,11
B17,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,K,N,w,12
B18,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,2,4,1,1,0,1,0,K,N,w,24
B19,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,2,3,1,1,0,1,0,K,N,m,23
B20,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,M,N,w,7
B21,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,2,1,1,0,0,0,K,N,m,14
B22,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,3,1,1,1,0,0,K,N,m,20
C1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,M,N,w,14
C2,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,2,0,0,K,N,m,20
C3,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,K,N,m,10
C4,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,2,1,1,M,N,m,22
C5,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,2,1,1,2,1,0,K,N,m,21
C6,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,K,T,w,8
C7,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,K,N,m,17
C8,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,K,N,w,9
C9,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,M,N,m,14
C10,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,M,T,w,9
C11,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,M,T,m,8
C12,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,4,1,1,2,1,0,K,N,m,25
C13,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,3,1,0,0,0,0,M,T,m,16
C14,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,3,1,1,0,0,0,M,N,m,19
C15,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,2,1,1,1,1,0,K,N,m,19
C16,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,3,1,1,0,1,1,M,N,w,18
C17,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,M,N,m,9
C18,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,2,1,1,1,0,1,0,K,N,w,16
C19,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,M,T,m,6
C20,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,M,N,m,13
C21,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,M,N,m,15
C22,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,K,N,w,16
C23,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M,N,w,4
C24,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,K,N,w,10
C25,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,M,N,m,11
D1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,M,N,m,9
D2,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,M,N,m,6
D3,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,K,N,w,13
D4,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,2,1,1,2,1,1,K,T,m,16
D5,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,2,1,1,0,0,0,M,T,w,12
D6,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,2,1,1,2,0,0,M,T,m,19
D7,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,4,1,1,1,1,0,M,N,w,20
D8,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,3,1,1,1,1,0,K,T,m,22
D9,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,2,1,1,0,0,0,K,N,m,15
D10,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,3,1,1,1,0,0,K,N,m,18
D11,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,2,1,1,0,0,0,K,T,m,12
D12,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,M,T,m,7
D13,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,2,0,0,0,0,0,M,T,w,12
D14,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,4,1,1,0,0,0,M,N,w,16
D15,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,2,1,1,1,2,1,0,K,T,m,22
D16,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1,1,0,0,0,K,T,m,15
D17,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,2,0,0,0,0,0,K,N,m,16
D18,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,3,1,1,1,1,0,K,N,w,23
D19,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,K,N,w,9
D20,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,3,1,1,0,0,0,K,T,w,20
D21,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,2,0,0,K,N,m,19
D22,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,4,1,1,0,0,0,K,N,m,18
E1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,2,2,1,1,2,1,1,M,N,m,25
E2,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,3,1,1,2,0,0,M,N,m,21
E3,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,1,1,2,1,1,K,N,w,17
E4,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,0,K,N,m,24
E5,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,3,1,1,2,1,0,K,N,m,27
E6,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1,2,1,1,K,N,w,17
E7,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,K,N,m,11
E8,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,M,N,m,15
E9,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,2,1,1,0,0,1,K,N,w,15
E10,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,3,0,1,0,1,0,K,N,w,17
E11,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,3,1,1,2,0,1,M,N,m,22
E12,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,2,1,0,0,0,1,K,N,m,13
E13,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,3,1,1,2,0,0,K,N,m,18
E14,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,2,1,1,2,1,0,K,N,m,17
E15,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,2,3,1,1,2,1,0,K,N,w,25
E16,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2,3,1,1,2,1,1,K,N,w,20
E17,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,2,2,1,1,2,1,0,K,N,m,23
E18,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,4,1,1,2,1,1,M,N,m,28
E19,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,2,1,1,0,0,0,K,N,m,21
E20,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,K,T,m,11
E21,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,2,1,1,0,1,0,K,N,m,20
E22,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,2,1,1,K,N,m,20
E23,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,2,3,1,1,2,0,0,K,N,m,21
